profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
368,6,2,2,47,0,10km,500 meters,800,gratis områdets parkering
40,6,3,1,48,20,10km,15km,200,Garage
77,6,3,2,48,-10,5km,15km,400,Garage
201,6,4,1,49,-20,10km,5km,400,Förhyrd plats i området
251,6,4,2,49,-20,15km,5km,800,Förhyrd plats i området
179,6,5,1,50,10,15km,15km,200,Förhyrd plats i området
297,6,5,2,50,-10,15km,5km,200,gratis områdets parkering
297,6,6,1,51,-10,15km,5km,200,gratis områdets parkering
201,6,6,2,51,-20,10km,5km,400,Förhyrd plats i området
102,6,7,1,52,-10,15km,500 meters,800,Garage
216,6,7,2,52,-20,10km,15km,400,Förhyrd plats i området
16,6,8,1,53,-20,5km,5km,200,Garage
183,6,8,2,53,0,5km,500 meters,400,Förhyrd plats i området
95,6,9,1,54,20,5km,500 meters,800,Garage
40,6,9,2,54,20,10km,15km,200,Garage
51,7,1,1,55,-20,10km,500 meters,400,Garage
380,7,1,2,55,20,5km,5km,800,gratis områdets parkering
344,7,2,1,56,10,15km,5km,400,gratis områdets parkering
95,7,2,2,56,20,5km,500 meters,800,Garage
309,7,3,1,57,10,10km,15km,200,gratis områdets parkering
144,7,3,2,57,10,10km,500 meters,200,Förhyrd plats i området
260,7,4,1,58,20,5km,15km,800,Förhyrd plats i området
352,7,4,2,58,-10,10km,15km,400,gratis områdets parkering
114,7,5,1,59,10,10km,5km,800,Garage
179,7,5,2,59,10,15km,15km,200,Förhyrd plats i området
352,7,6,1,60,-10,10km,15km,400,gratis områdets parkering
244,7,6,2,60,10,5km,5km,800,Förhyrd plats i området
280,7,7,1,61,20,10km,500 meters,200,gratis områdets parkering
43,7,7,2,61,0,15km,15km,200,Garage
319,7,8,1,62,10,5km,500 meters,400,gratis områdets parkering
160,7,8,2,62,20,10km,5km,200,Förhyrd plats i området
401,7,9,1,63,-20,15km,15km,800,gratis områdets parkering
114,7,9,2,63,10,10km,5km,800,Garage
213,8,1,1,64,0,5km,15km,400,Förhyrd plats i området
309,8,1,2,64,10,10km,15km,200,gratis områdets parkering
371,8,2,1,65,-20,15km,500 meters,800,gratis områdets parkering
16,8,2,2,65,-20,5km,5km,200,Garage
360,8,3,1,66,20,15km,15km,400,gratis områdets parkering
195,8,3,2,66,20,15km,500 meters,400,Förhyrd plats i området
59,8,4,1,67,10,15km,500 meters,400,Garage
152,8,4,2,67,-10,5km,5km,200,Förhyrd plats i området
232,8,5,1,68,-10,10km,500 meters,800,Förhyrd plats i området
102,8,5,2,68,-10,15km,500 meters,800,Garage
333,8,6,1,69,0,5km,5km,400,gratis områdets parkering
272,8,6,2,69,-10,5km,500 meters,200,gratis områdets parkering
43,8,7,1,70,0,15km,15km,200,Garage
344,8,7,2,70,10,15km,5km,400,gratis områdets parkering
160,8,8,1,71,20,10km,5km,200,Förhyrd plats i området
28,8,8,2,71,0,15km,5km,200,Garage
195,8,9,1,72,20,15km,500 meters,400,Förhyrd plats i området
51,8,9,2,72,-20,10km,500 meters,400,Garage
75,9,1,1,73,20,15km,5km,400,Garage
67,9,1,2,73,-10,10km,5km,400,Garage
148,9,2,1,74,0,15km,500 meters,200,Förhyrd plats i området
301,9,2,2,74,-20,5km,15km,200,gratis områdets parkering
67,9,3,1,75,-10,10km,5km,400,Garage
59,9,3,2,75,10,15km,500 meters,400,Garage
383,9,4,1,76,0,10km,5km,800,gratis områdets parkering
401,9,4,2,76,-20,15km,15km,800,gratis områdets parkering
128,9,5,1,77,0,10km,15km,800,Garage
267,9,5,2,77,-10,15km,15km,800,Förhyrd plats i området
28,9,6,1,78,0,15km,5km,200,Garage
319,9,6,2,78,10,5km,500 meters,400,gratis områdets parkering
301,9,7,1,79,-20,5km,15km,200,gratis områdets parkering
333,9,7,2,79,0,5km,5km,400,gratis områdets parkering
216,9,8,1,80,-20,10km,15km,400,Förhyrd plats i området
232,9,8,2,80,-10,10km,500 meters,800,Förhyrd plats i området
272,9,9,1,81,-10,5km,500 meters,200,gratis områdets parkering
383,9,9,2,81,0,10km,5km,800,gratis områdets parkering
368,10,1,1,82,0,10km,500 meters,800,gratis områdets parkering
75,10,1,2,82,20,15km,5km,400,Garage
124,10,2,1,83,10,5km,15km,800,Garage
128,10,2,2,83,0,10km,15km,800,Garage
380,10,3,1,84,20,5km,5km,800,gratis områdets parkering
213,10,3,2,84,0,5km,15km,400,Förhyrd plats i området
251,10,4,1,85,-20,15km,5km,800,Förhyrd plats i området
124,10,4,2,85,10,5km,15km,800,Garage
152,10,5,1,86,-10,5km,5km,200,Förhyrd plats i området
360,10,5,2,86,20,15km,15km,400,gratis områdets parkering
183,10,6,1,87,0,5km,500 meters,400,Förhyrd plats i området
280,10,6,2,87,20,10km,500 meters,200,gratis områdets parkering
77,10,7,1,88,-10,5km,15km,400,Garage
371,10,7,2,88,-20,15km,500 meters,800,gratis områdets parkering
1,10,8,1,89,-20,5km,500 meters,200,Garage
260,10,8,2,89,20,5km,15km,800,Förhyrd plats i området
267,10,9,1,90,-10,15km,15km,800,Förhyrd plats i området
1,10,9,2,90,-20,5km,500 meters,200,Garage
144,11,1,1,91,10,10km,500 meters,200,Förhyrd plats i området
148,11,1,2,91,0,15km,500 meters,200,Förhyrd plats i området
244,11,2,1,92,10,5km,5km,800,Förhyrd plats i området
368,11,2,2,92,0,10km,500 meters,800,gratis områdets parkering
40,11,3,1,93,20,10km,15km,200,Garage
77,11,3,2,93,-10,5km,15km,400,Garage
201,11,4,1,94,-20,10km,5km,400,Förhyrd plats i området
251,11,4,2,94,-20,15km,5km,800,Förhyrd plats i området
179,11,5,1,95,10,15km,15km,200,Förhyrd plats i området
297,11,5,2,95,-10,15km,5km,200,gratis områdets parkering
297,11,6,1,96,-10,15km,5km,200,gratis områdets parkering
201,11,6,2,96,-20,10km,5km,400,Förhyrd plats i området
102,11,7,1,97,-10,15km,500 meters,800,Garage
216,11,7,2,97,-20,10km,15km,400,Förhyrd plats i området
16,11,8,1,98,-20,5km,5km,200,Garage
183,11,8,2,98,0,5km,500 meters,400,Förhyrd plats i området
95,11,9,1,99,20,5km,500 meters,800,Garage
40,11,9,2,99,20,10km,15km,200,Garage
51,12,1,1,100,-20,10km,500 meters,400,Garage
380,12,1,2,100,20,5km,5km,800,gratis områdets parkering
344,12,2,1,101,10,15km,5km,400,gratis områdets parkering
95,12,2,2,101,20,5km,500 meters,800,Garage
309,12,3,1,102,10,10km,15km,200,gratis områdets parkering
144,12,3,2,102,10,10km,500 meters,200,Förhyrd plats i området
260,12,4,1,103,20,5km,15km,800,Förhyrd plats i området
352,12,4,2,103,-10,10km,15km,400,gratis områdets parkering
114,12,5,1,104,10,10km,5km,800,Garage
179,12,5,2,104,10,15km,15km,200,Förhyrd plats i området
352,12,6,1,105,-10,10km,15km,400,gratis områdets parkering
244,12,6,2,105,10,5km,5km,800,Förhyrd plats i området
280,12,7,1,106,20,10km,500 meters,200,gratis områdets parkering
43,12,7,2,106,0,15km,15km,200,Garage
319,12,8,1,107,10,5km,500 meters,400,gratis områdets parkering
160,12,8,2,107,20,10km,5km,200,Förhyrd plats i området
401,12,9,1,108,-20,15km,15km,800,gratis områdets parkering
114,12,9,2,108,10,10km,5km,800,Garage
213,13,1,1,109,0,5km,15km,400,Förhyrd plats i området
309,13,1,2,109,10,10km,15km,200,gratis områdets parkering
371,13,2,1,110,-20,15km,500 meters,800,gratis områdets parkering
16,13,2,2,110,-20,5km,5km,200,Garage
360,13,3,1,111,20,15km,15km,400,gratis områdets parkering
195,13,3,2,111,20,15km,500 meters,400,Förhyrd plats i området
59,13,4,1,112,10,15km,500 meters,400,Garage
152,13,4,2,112,-10,5km,5km,200,Förhyrd plats i området
232,13,5,1,113,-10,10km,500 meters,800,Förhyrd plats i området
102,13,5,2,113,-10,15km,500 meters,800,Garage
333,13,6,1,114,0,5km,5km,400,gratis områdets parkering
272,13,6,2,114,-10,5km,500 meters,200,gratis områdets parkering
43,13,7,1,115,0,15km,15km,200,Garage
344,13,7,2,115,10,15km,5km,400,gratis områdets parkering
160,13,8,1,116,20,10km,5km,200,Förhyrd plats i området
28,13,8,2,116,0,15km,5km,200,Garage
195,13,9,1,117,20,15km,500 meters,400,Förhyrd plats i området
51,13,9,2,117,-20,10km,500 meters,400,Garage
75,14,1,1,118,20,15km,5km,400,Garage
67,14,1,2,118,-10,10km,5km,400,Garage
148,14,2,1,119,0,15km,500 meters,200,Förhyrd plats i området
301,14,2,2,119,-20,5km,15km,200,gratis områdets parkering
67,14,3,1,120,-10,10km,5km,400,Garage
59,14,3,2,120,10,15km,500 meters,400,Garage
383,14,4,1,121,0,10km,5km,800,gratis områdets parkering
401,14,4,2,121,-20,15km,15km,800,gratis områdets parkering
128,14,5,1,122,0,10km,15km,800,Garage
267,14,5,2,122,-10,15km,15km,800,Förhyrd plats i området
28,14,6,1,123,0,15km,5km,200,Garage
319,14,6,2,123,10,5km,500 meters,400,gratis områdets parkering
301,14,7,1,124,-20,5km,15km,200,gratis områdets parkering
333,14,7,2,124,0,5km,5km,400,gratis områdets parkering
216,14,8,1,125,-20,10km,15km,400,Förhyrd plats i området
232,14,8,2,125,-10,10km,500 meters,800,Förhyrd plats i området
272,14,9,1,126,-10,5km,500 meters,200,gratis områdets parkering
383,14,9,2,126,0,10km,5km,800,gratis områdets parkering
368,15,1,1,127,0,10km,500 meters,800,gratis områdets parkering
75,15,1,2,127,20,15km,5km,400,Garage
124,15,2,1,128,10,5km,15km,800,Garage
128,15,2,2,128,0,10km,15km,800,Garage
380,15,3,1,129,20,5km,5km,800,gratis områdets parkering
213,15,3,2,129,0,5km,15km,400,Förhyrd plats i området
251,15,4,1,130,-20,15km,5km,800,Förhyrd plats i området
124,15,4,2,130,10,5km,15km,800,Garage
152,15,5,1,131,-10,5km,5km,200,Förhyrd plats i området
360,15,5,2,131,20,15km,15km,400,gratis områdets parkering
183,15,6,1,132,0,5km,500 meters,400,Förhyrd plats i området
280,15,6,2,132,20,10km,500 meters,200,gratis områdets parkering
77,15,7,1,133,-10,5km,15km,400,Garage
371,15,7,2,133,-20,15km,500 meters,800,gratis områdets parkering
1,15,8,1,134,-20,5km,500 meters,200,Garage
260,15,8,2,134,20,5km,15km,800,Förhyrd plats i området
267,15,9,1,135,-10,15km,15km,800,Förhyrd plats i området
1,15,9,2,135,-20,5km,500 meters,200,Garage
144,16,1,1,136,10,10km,500 meters,200,Förhyrd plats i området
148,16,1,2,136,0,15km,500 meters,200,Förhyrd plats i området
244,16,2,1,137,10,5km,5km,800,Förhyrd plats i området
368,16,2,2,137,0,10km,500 meters,800,gratis områdets parkering
40,16,3,1,138,20,10km,15km,200,Garage
77,16,3,2,138,-10,5km,15km,400,Garage
201,16,4,1,139,-20,10km,5km,400,Förhyrd plats i området
251,16,4,2,139,-20,15km,5km,800,Förhyrd plats i området
179,16,5,1,140,10,15km,15km,200,Förhyrd plats i området
297,16,5,2,140,-10,15km,5km,200,gratis områdets parkering
297,16,6,1,141,-10,15km,5km,200,gratis områdets parkering
201,16,6,2,141,-20,10km,5km,400,Förhyrd plats i området
102,16,7,1,142,-10,15km,500 meters,800,Garage
216,16,7,2,142,-20,10km,15km,400,Förhyrd plats i området
16,16,8,1,143,-20,5km,5km,200,Garage
183,16,8,2,143,0,5km,500 meters,400,Förhyrd plats i området
95,16,9,1,144,20,5km,500 meters,800,Garage
40,16,9,2,144,20,10km,15km,200,Garage
51,17,1,1,145,-20,10km,500 meters,400,Garage
380,17,1,2,145,20,5km,5km,800,gratis områdets parkering
344,17,2,1,146,10,15km,5km,400,gratis områdets parkering
95,17,2,2,146,20,5km,500 meters,800,Garage
309,17,3,1,147,10,10km,15km,200,gratis områdets parkering
144,17,3,2,147,10,10km,500 meters,200,Förhyrd plats i området
260,17,4,1,148,20,5km,15km,800,Förhyrd plats i området
352,17,4,2,148,-10,10km,15km,400,gratis områdets parkering
114,17,5,1,149,10,10km,5km,800,Garage
179,17,5,2,149,10,15km,15km,200,Förhyrd plats i området
352,17,6,1,150,-10,10km,15km,400,gratis områdets parkering
244,17,6,2,150,10,5km,5km,800,Förhyrd plats i området
280,17,7,1,151,20,10km,500 meters,200,gratis områdets parkering
43,17,7,2,151,0,15km,15km,200,Garage
319,17,8,1,152,10,5km,500 meters,400,gratis områdets parkering
160,17,8,2,152,20,10km,5km,200,Förhyrd plats i området
401,17,9,1,153,-20,15km,15km,800,gratis områdets parkering
114,17,9,2,153,10,10km,5km,800,Garage
213,18,1,1,154,0,5km,15km,400,Förhyrd plats i området
309,18,1,2,154,10,10km,15km,200,gratis områdets parkering
371,18,2,1,155,-20,15km,500 meters,800,gratis områdets parkering
16,18,2,2,155,-20,5km,5km,200,Garage
360,18,3,1,156,20,15km,15km,400,gratis områdets parkering
195,18,3,2,156,20,15km,500 meters,400,Förhyrd plats i området
59,18,4,1,157,10,15km,500 meters,400,Garage
152,18,4,2,157,-10,5km,5km,200,Förhyrd plats i området
232,18,5,1,158,-10,10km,500 meters,800,Förhyrd plats i området
102,18,5,2,158,-10,15km,500 meters,800,Garage
333,18,6,1,159,0,5km,5km,400,gratis områdets parkering
272,18,6,2,159,-10,5km,500 meters,200,gratis områdets parkering
43,18,7,1,160,0,15km,15km,200,Garage
344,18,7,2,160,10,15km,5km,400,gratis områdets parkering
160,18,8,1,161,20,10km,5km,200,Förhyrd plats i området
28,18,8,2,161,0,15km,5km,200,Garage
195,18,9,1,162,20,15km,500 meters,400,Förhyrd plats i området
51,18,9,2,162,-20,10km,500 meters,400,Garage
75,19,1,1,163,20,15km,5km,400,Garage
67,19,1,2,163,-10,10km,5km,400,Garage
148,19,2,1,164,0,15km,500 meters,200,Förhyrd plats i området
301,19,2,2,164,-20,5km,15km,200,gratis områdets parkering
67,19,3,1,165,-10,10km,5km,400,Garage
59,19,3,2,165,10,15km,500 meters,400,Garage
383,19,4,1,166,0,10km,5km,800,gratis områdets parkering
401,19,4,2,166,-20,15km,15km,800,gratis områdets parkering
128,19,5,1,167,0,10km,15km,800,Garage
267,19,5,2,167,-10,15km,15km,800,Förhyrd plats i området
28,19,6,1,168,0,15km,5km,200,Garage
319,19,6,2,168,10,5km,500 meters,400,gratis områdets parkering
301,19,7,1,169,-20,5km,15km,200,gratis områdets parkering
333,19,7,2,169,0,5km,5km,400,gratis områdets parkering
216,19,8,1,170,-20,10km,15km,400,Förhyrd plats i området
232,19,8,2,170,-10,10km,500 meters,800,Förhyrd plats i området
272,19,9,1,171,-10,5km,500 meters,200,gratis områdets parkering
383,19,9,2,171,0,10km,5km,800,gratis områdets parkering
368,20,1,1,172,0,10km,500 meters,800,gratis områdets parkering
75,20,1,2,172,20,15km,5km,400,Garage
124,20,2,1,173,10,5km,15km,800,Garage
128,20,2,2,173,0,10km,15km,800,Garage
380,20,3,1,174,20,5km,5km,800,gratis områdets parkering
213,20,3,2,174,0,5km,15km,400,Förhyrd plats i området
251,20,4,1,175,-20,15km,5km,800,Förhyrd plats i området
124,20,4,2,175,10,5km,15km,800,Garage
152,20,5,1,176,-10,5km,5km,200,Förhyrd plats i området
360,20,5,2,176,20,15km,15km,400,gratis områdets parkering
183,20,6,1,177,0,5km,500 meters,400,Förhyrd plats i området
280,20,6,2,177,20,10km,500 meters,200,gratis områdets parkering
77,20,7,1,178,-10,5km,15km,400,Garage
371,20,7,2,178,-20,15km,500 meters,800,gratis områdets parkering
1,20,8,1,179,-20,5km,500 meters,200,Garage
260,20,8,2,179,20,5km,15km,800,Förhyrd plats i området
267,20,9,1,180,-10,15km,15km,800,Förhyrd plats i området
1,20,9,2,180,-20,5km,500 meters,200,Garage
144,21,1,1,181,10,10km,500 meters,200,Förhyrd plats i området
148,21,1,2,181,0,15km,500 meters,200,Förhyrd plats i området
244,21,2,1,182,10,5km,5km,800,Förhyrd plats i området
368,21,2,2,182,0,10km,500 meters,800,gratis områdets parkering
40,21,3,1,183,20,10km,15km,200,Garage
77,21,3,2,183,-10,5km,15km,400,Garage
201,21,4,1,184,-20,10km,5km,400,Förhyrd plats i området
251,21,4,2,184,-20,15km,5km,800,Förhyrd plats i området
179,21,5,1,185,10,15km,15km,200,Förhyrd plats i området
297,21,5,2,185,-10,15km,5km,200,gratis områdets parkering
297,21,6,1,186,-10,15km,5km,200,gratis områdets parkering
201,21,6,2,186,-20,10km,5km,400,Förhyrd plats i området
102,21,7,1,187,-10,15km,500 meters,800,Garage
216,21,7,2,187,-20,10km,15km,400,Förhyrd plats i området
16,21,8,1,188,-20,5km,5km,200,Garage
183,21,8,2,188,0,5km,500 meters,400,Förhyrd plats i området
95,21,9,1,189,20,5km,500 meters,800,Garage
40,21,9,2,189,20,10km,15km,200,Garage
51,22,1,1,190,-20,10km,500 meters,400,Garage
380,22,1,2,190,20,5km,5km,800,gratis områdets parkering
344,22,2,1,191,10,15km,5km,400,gratis områdets parkering
95,22,2,2,191,20,5km,500 meters,800,Garage
309,22,3,1,192,10,10km,15km,200,gratis områdets parkering
144,22,3,2,192,10,10km,500 meters,200,Förhyrd plats i området
260,22,4,1,193,20,5km,15km,800,Förhyrd plats i området
352,22,4,2,193,-10,10km,15km,400,gratis områdets parkering
114,22,5,1,194,10,10km,5km,800,Garage
179,22,5,2,194,10,15km,15km,200,Förhyrd plats i området
352,22,6,1,195,-10,10km,15km,400,gratis områdets parkering
244,22,6,2,195,10,5km,5km,800,Förhyrd plats i området
280,22,7,1,196,20,10km,500 meters,200,gratis områdets parkering
43,22,7,2,196,0,15km,15km,200,Garage
319,22,8,1,197,10,5km,500 meters,400,gratis områdets parkering
160,22,8,2,197,20,10km,5km,200,Förhyrd plats i området
401,22,9,1,198,-20,15km,15km,800,gratis områdets parkering
114,22,9,2,198,10,10km,5km,800,Garage
213,23,1,1,199,0,5km,15km,400,Förhyrd plats i området
309,23,1,2,199,10,10km,15km,200,gratis områdets parkering
371,23,2,1,200,-20,15km,500 meters,800,gratis områdets parkering
16,23,2,2,200,-20,5km,5km,200,Garage
360,23,3,1,201,20,15km,15km,400,gratis områdets parkering
195,23,3,2,201,20,15km,500 meters,400,Förhyrd plats i området
59,23,4,1,202,10,15km,500 meters,400,Garage
152,23,4,2,202,-10,5km,5km,200,Förhyrd plats i området
232,23,5,1,203,-10,10km,500 meters,800,Förhyrd plats i området
102,23,5,2,203,-10,15km,500 meters,800,Garage
333,23,6,1,204,0,5km,5km,400,gratis områdets parkering
272,23,6,2,204,-10,5km,500 meters,200,gratis områdets parkering
43,23,7,1,205,0,15km,15km,200,Garage
344,23,7,2,205,10,15km,5km,400,gratis områdets parkering
160,23,8,1,206,20,10km,5km,200,Förhyrd plats i området
28,23,8,2,206,0,15km,5km,200,Garage
195,23,9,1,207,20,15km,500 meters,400,Förhyrd plats i området
51,23,9,2,207,-20,10km,500 meters,400,Garage
75,24,1,1,208,20,15km,5km,400,Garage
67,24,1,2,208,-10,10km,5km,400,Garage
148,24,2,1,209,0,15km,500 meters,200,Förhyrd plats i området
301,24,2,2,209,-20,5km,15km,200,gratis områdets parkering
67,24,3,1,210,-10,10km,5km,400,Garage
59,24,3,2,210,10,15km,500 meters,400,Garage
383,24,4,1,211,0,10km,5km,800,gratis områdets parkering
401,24,4,2,211,-20,15km,15km,800,gratis områdets parkering
128,24,5,1,212,0,10km,15km,800,Garage
267,24,5,2,212,-10,15km,15km,800,Förhyrd plats i området
28,24,6,1,213,0,15km,5km,200,Garage
319,24,6,2,213,10,5km,500 meters,400,gratis områdets parkering
301,24,7,1,214,-20,5km,15km,200,gratis områdets parkering
333,24,7,2,214,0,5km,5km,400,gratis områdets parkering
216,24,8,1,215,-20,10km,15km,400,Förhyrd plats i området
232,24,8,2,215,-10,10km,500 meters,800,Förhyrd plats i området
