profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
267,6,4,2,54,-10,15km,15km,800m,On street free
232,6,5,1,55,-10,10km,5km,800m,On street free
148,6,5,2,55,0,15km,5km,200m,On street free
267,6,6,1,56,-10,15km,15km,800m,On street free
213,6,6,2,56,0,5km,15km,400m,On street free
28,6,7,1,57,0,15km,10km,200m,Garage
360,6,7,2,57,20,15km,15km,400m,On street paid
179,6,8,1,58,10,15km,15km,200m,On street free
114,6,8,2,58,10,10km,10km,800m,Garage
77,6,9,1,59,-10,5km,15km,400m,Garage
244,6,9,2,59,10,5km,10km,800m,On street free
1,6,10,1,60,-20,5km,5km,200m,Garage
152,6,10,2,60,-10,5km,10km,200m,On street free
43,7,1,1,61,0,15km,15km,200m,Garage
260,7,1,2,61,20,5km,15km,800m,On street free
160,7,2,1,62,20,10km,10km,200m,On street free
16,7,2,2,62,-20,5km,10km,200m,Garage
51,7,3,1,63,-20,10km,5km,400m,Garage
95,7,3,2,63,20,5km,5km,800m,Garage
102,7,4,1,64,-10,15km,5km,800m,Garage
51,7,4,2,64,-20,10km,5km,400m,Garage
244,7,5,1,65,10,5km,10km,800m,On street free
301,7,5,2,65,-20,5km,15km,200m,On street paid
144,7,6,1,66,10,10km,5km,200m,On street free
124,7,6,2,66,10,5km,15km,800m,Garage
213,7,7,1,67,0,5km,15km,400m,On street free
201,7,7,2,67,-20,10km,10km,400m,On street free
251,7,8,1,68,-20,15km,10km,800m,On street free
77,7,8,2,68,-10,5km,15km,400m,Garage
148,7,9,1,69,0,15km,5km,200m,On street free
319,7,9,2,69,10,5km,5km,400m,On street paid
75,7,10,1,70,20,15km,10km,400m,Garage
251,7,10,2,70,-20,15km,10km,800m,On street free
260,8,1,1,71,20,5km,15km,800m,On street free
28,8,1,2,71,0,15km,10km,200m,Garage
124,8,2,1,72,10,5km,15km,800m,Garage
297,8,2,2,72,-10,15km,10km,200m,On street paid
383,8,3,1,73,0,10km,10km,800m,On street paid
280,8,3,2,73,20,10km,5km,200m,On street paid
40,8,4,1,74,20,10km,15km,200m,Garage
160,8,4,2,74,20,10km,10km,200m,On street free
401,8,5,1,75,-20,15km,15km,800m,On street paid
59,8,5,2,75,10,15km,5km,400m,Garage
368,8,6,1,76,0,10km,5km,800m,On street paid
344,8,6,2,76,10,15km,10km,400m,On street paid
297,8,7,1,77,-10,15km,10km,200m,On street paid
40,8,7,2,77,20,10km,15km,200m,Garage
309,8,8,1,78,10,10km,15km,200m,On street paid
144,8,8,2,78,10,10km,5km,200m,On street free
195,8,9,1,79,20,15km,5km,400m,On street free
380,8,9,2,79,20,5km,10km,800m,On street paid
371,8,10,1,80,-20,15km,5km,800m,On street paid
333,8,10,2,80,0,5km,10km,400m,On street paid
319,9,1,1,81,10,5km,5km,400m,On street paid
75,9,1,2,81,20,15km,10km,400m,Garage
344,9,2,1,82,10,15km,10km,400m,On street paid
102,9,2,2,82,-10,15km,5km,800m,Garage
183,9,3,1,83,0,5km,5km,400m,On street free
309,9,3,2,83,10,10km,15km,200m,On street paid
152,9,4,1,84,-10,5km,10km,200m,On street free
232,9,4,2,84,-10,10km,5km,800m,On street free
114,9,5,1,85,10,10km,10km,800m,Garage
67,9,5,2,85,-10,10km,10km,400m,Garage
333,9,6,1,86,0,5km,10km,400m,On street paid
216,9,6,2,86,-20,10km,15km,400m,On street free
216,9,7,1,87,-20,10km,15km,400m,On street free
401,9,7,2,87,-20,15km,15km,800m,On street paid
352,9,8,1,88,-10,10km,15km,400m,On street paid
183,9,8,2,88,0,5km,5km,400m,On street free
272,9,9,1,89,-10,5km,5km,200m,On street paid
43,9,9,2,89,0,15km,15km,200m,Garage
380,9,10,1,90,20,5km,10km,800m,On street paid
272,9,10,2,90,-10,5km,5km,200m,On street paid
67,10,1,1,91,-10,10km,10km,400m,Garage
352,10,1,2,91,-10,10km,15km,400m,On street paid
360,10,2,1,92,20,15km,15km,400m,On street paid
1,10,2,2,92,-20,5km,5km,200m,Garage
16,10,3,1,93,-20,5km,10km,200m,Garage
371,10,3,2,93,-20,15km,5km,800m,On street paid
201,10,4,1,94,-20,10km,10km,400m,On street free
128,10,4,2,94,0,10km,15km,800m,Garage
301,10,5,1,95,-20,5km,15km,200m,On street paid
179,10,5,2,95,10,15km,15km,200m,On street free
128,10,6,1,96,0,10km,15km,800m,Garage
368,10,6,2,96,0,10km,5km,800m,On street paid
59,10,7,1,97,10,15km,5km,400m,Garage
383,10,7,2,97,0,10km,10km,800m,On street paid
280,10,8,1,98,20,10km,5km,200m,On street paid
195,10,8,2,98,20,15km,5km,400m,On street free
95,10,9,1,99,20,5km,5km,800m,Garage
267,10,9,2,99,-10,15km,15km,800m,On street free
232,10,10,1,100,-10,10km,5km,800m,On street free
148,10,10,2,100,0,15km,5km,200m,On street free
267,11,1,1,101,-10,15km,15km,800m,On street free
213,11,1,2,101,0,5km,15km,400m,On street free
28,11,2,1,102,0,15km,10km,200m,Garage
360,11,2,2,102,20,15km,15km,400m,On street paid
179,11,3,1,103,10,15km,15km,200m,On street free
114,11,3,2,103,10,10km,10km,800m,Garage
77,11,4,1,104,-10,5km,15km,400m,Garage
244,11,4,2,104,10,5km,10km,800m,On street free
1,11,5,1,105,-20,5km,5km,200m,Garage
152,11,5,2,105,-10,5km,10km,200m,On street free
43,11,6,1,106,0,15km,15km,200m,Garage
260,11,6,2,106,20,5km,15km,800m,On street free
160,11,7,1,107,20,10km,10km,200m,On street free
16,11,7,2,107,-20,5km,10km,200m,Garage
51,11,8,1,108,-20,10km,5km,400m,Garage
95,11,8,2,108,20,5km,5km,800m,Garage
102,11,9,1,109,-10,15km,5km,800m,Garage
51,11,9,2,109,-20,10km,5km,400m,Garage
244,11,10,1,110,10,5km,10km,800m,On street free
301,11,10,2,110,-20,5km,15km,200m,On street paid
144,12,1,1,111,10,10km,5km,200m,On street free
124,12,1,2,111,10,5km,15km,800m,Garage
213,12,2,1,112,0,5km,15km,400m,On street free
201,12,2,2,112,-20,10km,10km,400m,On street free
251,12,3,1,113,-20,15km,10km,800m,On street free
77,12,3,2,113,-10,5km,15km,400m,Garage
148,12,4,1,114,0,15km,5km,200m,On street free
319,12,4,2,114,10,5km,5km,400m,On street paid
75,12,5,1,115,20,15km,10km,400m,Garage
251,12,5,2,115,-20,15km,10km,800m,On street free
260,12,6,1,116,20,5km,15km,800m,On street free
28,12,6,2,116,0,15km,10km,200m,Garage
