profileID,respID,qID,altID,obsID,price,dist_green,dist_shops,dist_trans,parking
267,1,1,1,1,-20,15km,15km,900, reserverad P-plats
232,1,1,2,1,-20,5km,500 meter,900, reserverad P-plats
148,1,2,1,2,-10,15km,500 meter,300, reserverad P-plats
360,1,2,2,2,20,15km,15km,600,ingen P-plats
1,1,3,1,3,0,500 meter,500 meter,300,reserverad garageplats
16,1,3,2,3,0,500 meter,5km,300,reserverad garageplats
152,1,4,1,4,-20,500 meter,5km,300, reserverad P-plats
40,1,4,2,4,20,5km,15km,300,reserverad garageplats
368,1,5,1,5,-10,5km,500 meter,900,ingen P-plats
267,1,5,2,5,-20,15km,15km,900, reserverad P-plats
301,1,6,1,6,0,500 meter,15km,300,ingen P-plats
333,1,6,2,6,-10,500 meter,5km,600,ingen P-plats
244,1,7,1,7,10,500 meter,5km,900, reserverad P-plats
195,1,7,2,7,20,15km,500 meter,600, reserverad P-plats
114,1,8,1,8,10,5km,5km,900,reserverad garageplats
251,1,8,2,8,0,15km,5km,900, reserverad P-plats
128,1,9,1,9,-10,5km,15km,900,reserverad garageplats
280,1,9,2,9,20,5km,500 meter,300,ingen P-plats
183,2,1,1,10,-10,500 meter,500 meter,600, reserverad P-plats
102,2,1,2,10,-20,15km,500 meter,900,reserverad garageplats
51,2,2,1,11,0,5km,500 meter,600,reserverad garageplats
67,2,2,2,11,-20,5km,5km,600,reserverad garageplats
40,2,3,1,12,20,5km,15km,300,reserverad garageplats
114,2,3,2,12,10,5km,5km,900,reserverad garageplats
360,2,4,1,13,20,15km,15km,600,ingen P-plats
128,2,4,2,13,-10,5km,15km,900,reserverad garageplats
213,2,5,1,14,-10,500 meter,15km,600, reserverad P-plats
75,2,5,2,14,20,15km,5km,600,reserverad garageplats
67,2,6,1,15,-20,5km,5km,600,reserverad garageplats
77,2,6,2,15,-20,500 meter,15km,600,reserverad garageplats
280,2,7,1,16,20,5km,500 meter,300,ingen P-plats
201,2,7,2,16,0,5km,5km,600, reserverad P-plats
102,2,8,1,17,-20,15km,500 meter,900,reserverad garageplats
